gℓo                                | Perfect Love                        | Lost Imagination(00:00)
AK                                 | Waiting                             | Follow The Clouds(21:02)
AK                                 | For All We Know                     | Anywhere From The Past(28:37)
AK                                 | Night Drive                         | First We Fly(04:07)
AK                                 | Departure                           | Black Dawn(11:15)
Astre                              | Stay In Your Bed                    | Beyond Dawn(31:55)
Andy Leech                         | Skylight                            | Beyond Dawn(35:49)
Andy Leech                         | April                               | After Nothing(17:07)
Andy Leech                         | I Love You                          | Blurred Radiance(18:45)
Andy Leech                         | Alchemy                             | For Those Dreams(13:54)
Andy Leech                         | Solitude                            | Light the Way(07:10)
Andy Leech                         | Sequoia                             | Light Ripple(06:37)
Andy Leech                         | Clearwater                          | Hollow Embrace(04:54)
Andy Leech                         | Black Orchid                        | Black Dawn(00:00)
Lion Forest                        | Beyond Mind                         | Beyond Dawn(43:48)
Yoste                              | Chihiro                             | Beyond Dawn(45:54)
Vallis Alps                        | Young                               | Beyond Dawn(49:24) - Best of the Best(45:55)
CMA                                | You're Not Alone                    | Lucid Emotion(00:00) - Best of the Best(12:47)
CMA                                | Fragments Of The Past               | Another Wanderer(08:37)
CMA                                | You're Free                         | Locked Inside(07:09)
CMA                                | You're Not Alone Part II            | Alone On Earth(03:47)
Evocativ                           | Maia                                | Lucid Emotion(20:31)
Direct & Finding Hope              | Falling Into Place                  | Lucid Emotion(23:22)
nExow                              | They Bring Me To You                | Lucid Emotion(27:33) - Bring Me Those Days(19:12)
Misc.Inc                           | Vibes                               | Lucid Emotion(32:12)
Ocxone                             | Gravity                             | Lucid Emotion(34:15)
Ocxone                             | Demise                              | Falling Through(03:17)
SizzleBird                         | Memory                              | Lucid Emotion(39:47)
VonnBoyd                           | Sae It                              | Lucid Emotion(43:21)
VonnBoyd                           | Discover                            | Discover Wonder(24:37)
Essáy & CoMa                       | Deceptive                           | Lucid Emotion(46:27)
AK & Faodail                       | Pale Love                           | After Nothing(09:52)
Colin McAllister                   | Sunday                              | After Nothing(13:09)
Colin McAllister                   | Together                            | Hollow Embrace(13:28)
Data Rebel                         | Escape Velocity                     | After Nothing(20:09)
Daminika                           | Snatches of Memory                  | After Nothing(25:22)
Daminika                           | Beyond the Stars                    | Arcane Stars(23:14)
Daminika                           | The Colors of the Evening           | Still Beauty(25:03)
Daminika                           | Into Smithereens                    | Falling Through(19:35) - Black Dawn(22:42)
Jimmis                             | Flying Home                         | After Nothing(30:01)
Sloati                             | All or Nothing                      | After Nothing(32:57)
Trastler                           | Radiance                            | After Nothing(37:58) - Blurred Radiance(00:00)
Trastler                           | Heartache                           | State of Change(33:00)
Trastler                           | Play Child                          | Anywhere From The Past(04:11)
Fyze                               | Emotion                             | After Nothing(45:55)
Fyze                               | Wanderer                            | Bring Me Those Days(11:02)
Fyze                               | Alone                               | Moonlight Passage(00:00)
Fyze                               | Harmony                             | Alone On Earth(00:00)
Slevemor                           | After The Rain                      | After Nothing(50:33)
SoundNet                           | Losing Hope Was Freedom             | Blurred Radiance(04:06)
4lienetic                          | Parachutes                          | Blurred Radiance(15:27)
4lienetic                          | Those Days                          | Bring Me Those Days(28:54)
4lienetic                          | Yours (ft. Madi Larson)             | Arcane Stars(04:03) - Still Beauty(08:31)
4lienetic                          | Decay                               | Moment Alone(20:58)
4lienetic                          | Hypnos                              | Discover Wonder(03:15)
Himalia                            | Revive Me                           | Blurred Radiance(24:15)
Boy Tedson                         | A Night In Cologne                  | Blurred Radiance(28:53)
Flüidd & Xandra                    | Retrospection                       | Blurred Radiance(33:37)
Atra Aeterna                       | When The World Ends                 | Blurred Radiance(36:17)
Insomnia                           | Blurred                             | Blurred Radiance(40:20)
View Of Argonauts                  | Leaving All Alone                   | Blurred Radiance(44:21)
Michael FK                         | Go Back                             | Blurred Radiance(51:00) - Anywhere From The Past(00:00)
Michael FK                         | Pulsar                              | Moment Alone(00:00)
Michael FK                         | Path to Freedom                     | Interstellar Escape(03:44)
Michael FK                         | Selene                              | Follow The Clouds(30:09)
Michael FK                         | Cosmic Waves                        | First We Fly(00:00)
Michael FK                         | Falling Stars                       | A Night In The Stars(23:05)
Michael FK                         | Above The Clouds                    | Black Dawn(18:49)
Michael FK                         | Molecule                            | Alone On Earth(09:13)
Michael FK                         | Immersion                           | Light Synergy(07:57)
Justin Jet Zorbas & Andy Leech     | Reaching The Summit                 | State of Change(00:00)
Simon Wester                       | Heaven and Earth                    | State of Change(04:03)
deeB                               | Sevenhouses                         | State of Change(08:57)
Sendai Data                        | Night                               | State of Change(12:20)
Alivvve                            | Change                              | State of Change(14:49)
Dexter Britain                     | Sleep Walker                        | State of Change(19:44)
Ecepta                             | Trust Me                            | State of Change(24:11)
Outlier                            | State of Being                      | State of Change(28:59)
Outlier                            | Tales of the Future                 | Goodbye Embrace(35:10)
Prana Tones                        | Ashtanga Voices                     | State of Change(37:31)
Zen Ongaku                         | Beyond The Pines                    | State of Change(41:20)
Undroid                            | Diomede                             | State of Change(45:20)
Rameses B                          | Pure                                | Another Wanderer(00:00)
Rameses B                          | We Are the Universe                 | Our World Anew(06:26)
Rameses B                          | Farewell (feat. Progley)            | Tomorrow Farewell - Vocal Chillout Mix(00:00)
Ampyx                              | Dream                               | Another Wanderer(18:25)
Keith Kenniff                      | Portraits Pt.2                      | Another Wanderer(22:24)
BlauDisS                           | Words Fade                          | Another Wanderer(32:54)
Miyuki                             | Dreamy Mind (feat. Jan Amit)        | Another Wanderer(36:21)
Reclaimed                          | The Wanderer                        | Another Wanderer(41:26)
Chrypton                           | Reflections                         | Another Wanderer(46:00)
Connect.Ohm                        | 9980                                | Another Wanderer(50:49)
Andy Leech / Victoriya             | Aerolith                            | Light Dreams(00:00)
Arro                               | Breathe                             | Light Dreams(11:36)
Wrm                                | Stellar                             | Light Dreams(15:23)
Anfield                            | Away                                | Light Dreams(21:04)
Evrdo                              | Today                               | Light Dreams(25:14)
Delectatio                         | Wanderlust                          | Light Dreams(28:55)
Delectatio                         | Saudade                             | For Those Dreams(07:55)
Extan                              | A Long Journey                      | Light Dreams(32:23)
Nyanara                            | We Are The Same                     | Light Dreams(38:23)
Kisnou                             | Quietness                           | Light Dreams(42:18)
Kisnou                             | First Light                         | First We Fly(35:26)
Kisnou                             | Muse                                | Hollow Embrace(00:00)
Kisnou                             | Sancta Mea                          | Black Dawn(27:01)
Liam Thomas                        | The Last Time I Saw You             | Light Dreams(45:40)
Liam Thomas                        | Could We Say Goodbye                | Goodbye Embrace(52:04)
Liam Thomas                        | Tonight, We Fly                     | First We Fly(08:06)
Liam Thomas                        | Interstellar                        | Hollow Embrace(37:20)
Liam Thomas                        | Polaris                             | Moonlight Passage(07:43)
Elskavon                           | Syna                                | Light Dreams(48:19) - Still Beauty(20:10)
Hydrecta                           | Memories                            | Goodbye Embrace(00:00)
Jabricon                           | And She Opened Her Eyes             | Goodbye Embrace(20:04)
Spaceouters                        | Hometown                            | Goodbye Embrace(23:52)
Spaceouters                        | Ma                                  | Interstellar Escape(36:30)
Spaceouters                        | Impulse                             | A Night In The Stars(32:05)
Miro                               | The Garden of Escapism (AK Remix)   | Goodbye Embrace(27:06)
Alicks & Avi                       | Falling From Here                   | Goodbye Embrace(30:35)
Pogo                               | Wave                                | Goodbye Embrace(38:46)
Tom Day                            | Forwards                            | Goodbye Embrace(41:39)
Voyage                             | Paradise                            | Goodbye Embrace(46:55)
Ambinate                           | Beta                                | For Those Dreams(00:00)
Blackbird                          | Night Train                         | For Those Dreams(04:40) - Our World Anew(03:03)
Blackbird                          | Barren Lands                        | Light the Way(31:10)
Amadeus                            | Beyond Reality                      | For Those Dreams(16:53)
Eliran Ben Ishai                   | For Those Who Lament Abandoned Dreams| For Those Dreams(25:22)
Nizar                              | Morning Breeze                      | For Those Dreams(29:30)
Almost Vanished                    | Silentium                           | For Those Dreams(36:48)
Valuem                             | Shoal                               | For Those Dreams(41:36)
Tulpa                              | Relapse                             | For Those Dreams(46:30)
A Cerulean State                   | Snöfall                             | For Those Dreams(49:31)
Thomas Hood                        | Last Resort                         | Locked Inside(00:00) - Best of the Best(23:30)
Amoeba                             | Stay                                | Locked Inside(13:00)
David Clavijo                      | Promises                            | Locked Inside(17:54)
Insomna & Munq                     | Water                               | Locked Inside(21:56)
Jona Mayr & Parra for Cuva         | Locked                              | Locked Inside(25:14)
WTRFALL & Radiofuzz                | Doubt                               | Locked Inside(28:03)
Lazarus Moment                     | Forevergreen                        | Locked Inside(31:18)
Melorman                           | Inside Your Dream                   | Locked Inside(35:49)
Soular Order                       | Lucida                              | Locked Inside(40:00)
Hazy                               | Cosmos                              | Locked Inside(43:40)
Hazy                               | Manifest                            | Arcane Stars(47:16)
Hazy                               | Winter Dusk                         | Light Ripple(32:55)
Hazy                               | It Is The Same                      | Interstellar Escape(45:42)
Hazy                               | Expand                              | Discover Wonder(42:45)
Hazy                               | It Does Not Matter                  | Follow The Clouds(24:37)
Hazy                               | Universe                            | Anywhere From The Past(43:30)
Hazy                               | Dreamer                             | A Night In The Stars(41:20)
Aurai                              | Our Dawn                            | Our World Anew(12:42)
Aurai                              | Hiraeth                             | Follow The Clouds(34:35)
Emiliano Secchi                    | Memory Fragments                    | Our World Anew(18:00)
Emiliano Secchi                    | Collide                             | Hollow Embrace(29:48)
Artem Karpov                       | Far World                           | Our World Anew(21:24)
Eikona                             | Turn My Back on You                 | Our World Anew(24:05)
Tulpa & Skywide                    | Cloudburst                          | Our World Anew(28:24)
Victoriya                          | Stay                                | Our World Anew(32:06)
Victoriya                          | Format                              | Light Ripple(44:14)
Tulpa & Temporal                   | Once Upon A Time                    | Our World Anew(36:50)
Mitch Page                         | Alive                               | Our World Anew(45:36)
Kojak                              | Looking Up                          | Bring Me Those Days(00:00)
Future Skyline                     | Spring Dawn                         | Bring Me Those Days(04:51)
Nayd                               | Sublime                             | Bring Me Those Days(15:37)
Hans Zimmer                        | Time (Memento Remix)                | Bring Me Those Days(23:52)
Hello Meteor                       | Paradise Depth                      | Bring Me Those Days(32:20)
Kazukii                            | Fall                                | Bring Me Those Days(34:58)
Azaleh & Eikona                    | In Aeternum (Banksy Remix)          | Bring Me Those Days(39:07)
Wane of Summer                     | Haven                               | Bring Me Those Days(43:07)
Ascendant                          | InStasis                            | Bring Me Those Days(46:30)
Ptr                                | Enchanted Forest                    | Light the Way(00:00)
Xandra                             | Guardian II: Rise                   | Light the Way(02:54)
Anna B May                         | Light Sadness                       | Light the Way(11:00)
Kanibeat                           | Cold (ft. Thomas Prime)             | Light the Way(14:29)
Shah                               | Sorrow                              | Light the Way(18:15)
Shah                               | Arcane                              | Arcane Stars(36:00)
Shah                               | Hollow Grounds                      | Light Ripple(40:18) - Black Dawn(04:20)
Woolookologie                      | The Wind Will Lead You the Way      | Light the Way(21:34)
Lightscape, Ascend & Lycii         | Recollection                        | Light the Way(27:33)
Grandyzer                          | Before Dawn                         | Light the Way(34:00)
Grandyzer                          | Mantra                              | Moment Alone(03:54)
Consonote                          | Winter Petersburg                   | Light the Way(40:54)
Aleks Michalski                    | Existence                           | Light the Way(45:13)
Hakuu                              | Crescent                            | Arcane Stars(00:00)
Cape Esan                          | Sstv                                | Arcane Stars(08:47)
Banksy                             | Hurt                                | Arcane Stars(16:36)
Azaleh & SmokeFishe                | Contradictions                      | Arcane Stars(19:53)
AK & Sublab                        | Saudade                             | Arcane Stars(27:55)
Jellis                             | Vessel                              | Arcane Stars(31:53)
Kori                               | Lost In Motion (feat. Elle Chante)  | Arcane Stars(39:47)
Homeomorphic                       | Inflection                          | Arcane Stars(43:30)
Emil Rottmayer                     | Limit                               | Light Ripple(00:00)
Joachim Heinrich                   | Pilgrim                             | Light Ripple(04:07)
Aladin                             | Carpet Tour                         | Light Ripple(10:55)
Blackbird x 4lienetic              | Broken Piano                        | Light Ripple(16:40)
Kooma                              | Ripple                              | Light Ripple(20:14) - Anywhere From The Past(21:30)
Osk                                | Komorebi                            | Light Ripple(24:30)
State Azure                        | Passengers                          | Light Ripple(29:04)
Rohne                              | Light Forms                         | Light Ripple(36:07)
Twisted Psykie                     | Spirit Song                         | Light Ripple(48:43)
Twisted Psykie                     | After Dark                          | Interstellar Escape(31:13)
Twisted Psykie                     | A Cold Lonely Place                 | Discover Wonder(28:46)
Sensitize                          | Shinrin-Yoku                        | Moment Alone(13:20)
Sensitize                          | Last Ship From Childhood            | Still Beauty(41:14)
Sensitize                          | Floating Dreams                     | First We Fly(41:03)
The Ambientalist                   | The Moment Before                   | Moment Alone(17:46)
The Ambientalist                   | A Great Escape                      | Interstellar Escape(10:47)
The Ambientalist                   | Letters From The Past               | Anywhere From The Past(31:18)
Solace                             | Epilogue                            | Moment Alone(25:35)
Kai Engel                          | Aspirato                            | Moment Alone(30:00)
Josh Leake                         | Dusk To Dawn                        | Moment Alone(32:52)
Maltex                             | Lost                                | Moment Alone(44:07)
Asyrion                            | Æther                               | Interstellar Escape(00:00)
Arctal                             | Interstellar                        | Interstellar Escape(08:33)
Creepa & Subsets                   | Together                            | Interstellar Escape(14:30)
Follow The Compass                 | Return                              | Interstellar Escape(18:08)
Und1fin3d                          | Try                                 | Interstellar Escape(21:05)
Oscuro                             | Lost                                | Interstellar Escape(25:36)
Oscuro                             | Time For You To Go                  | Light Synergy(04:29)
Otrapic                            | Blank Letters                       | Interstellar Escape(29:21)
Danya Vodovoz                      | Fourtwenty                          | Interstellar Escape(40:41)
Azaleh                             | Forest Flow                         | Still Beauty(00:00)
100 Day Delay                      | Maybe Next Tuesday                  | Still Beauty(05:39)
Ether                              | As If Time Stood Still              | Still Beauty(13:30)
Petunie                            | Brief Glimpses Of Beauty            | Still Beauty(16:30)
Dmitry Air feat. Nikolay Savransky | Expectance                          | Still Beauty(29:07)
Kaj. & SoundNet                    | New Age Voyager                     | Still Beauty(33:17)
Ptr.                               | Retrospection                       | Still Beauty(37:49)
Ptr.                               | Alpine Pass                         | Falling Through(00:00)
Ptr.                               | Pink Clouds                         | Follow The Clouds(40:20)
Ptr.                               | After The Storm                     | Alone On Earth(19:41)
Gemini Tri                         | Fractal Machina                     | Still Beauty(45:43)
Oleg Byonic                        | Wait For You                        | Still Beauty(50:39)
Oleg Byonic                        | U & I                               | Discover Wonder(35:29)
Oleg Byonic                        | Chickadee                           | Follow The Clouds(50:34)
Oleg Byonic                        | Lyra (Forgotten)                    | Tomorrow Farewell - Vocal Chillout Mix(17:46)
Oleg Byonic                        | 8848 Meters Above Sea Level         | A Night In The Stars(49:16)
skeler                             | ONSRA                               | Falling Through(07:43)
Artificial Endorphins              | Ocean Of Memory                     | Falling Through(15:44)
Randloev                           | Patience                            | Falling Through(23:47)
Wiljan & Xandra                    | Woodlands                           | Falling Through(28:20)
Lunar Pole                         | Beach Therapy                       | Falling Through(33:35)
Blure & Skyvoice                   | Take Me Away                        | Falling Through(37:20)
4th Front                          | Enigma                              | Falling Through(40:50)
Sava Marinkovic                    | Through The Air                     | Falling Through(45:39)
Clemens Ruh                        | Days Of Wonder                      | Discover Wonder(00:00)
Andy Leech x Fyze                  | Alchemy                             | Discover Wonder(06:47)
WMD                                | Redolent                            | Discover Wonder(09:48)
Dead Gravity                       | Solitude                            | Discover Wonder(13:18)
Cosmowave                          | Relive                              | Discover Wonder(17:30)
Forlorn                            | Silence                             | Discover Wonder(21:06)
Wayr                               | Follow The Light                    | Follow The Clouds(00:00)
Serein                             | Atlantic                            | Follow The Clouds(05:09)
Menual                             | Compass                             | Follow The Clouds(10:05)
Simon O'Shine                      | Miss You (Maxi Wox Remix)           | Follow The Clouds(44:07)
Sky Gienger                        | Known                               | Anywhere From The Past(08:25)
Under Water                        | Silent Partner                      | Anywhere From The Past(14:50)
Menual & Pensees                   | Planetary                           | Anywhere From The Past(17:18)
David Chapdelaine                  | Courage Theme                       | Anywhere From The Past(25:50)
Dimatis                            | Bliss                               | Anywhere From The Past(34:54)
Pawel Ikgy                         | Alone. Always. Anywhere             | Anywhere From The Past(38:46)
Cash                               | Collision Course                    | First We Fly(11:13)
591.                               | Damp                                | First We Fly(17:36)
aLone                              | Follow You                          | First We Fly(21:25)
Arros                              | Your Story                          | First We Fly(26:40)
Tiikk                              | Moonstone                           | First We Fly(31:31)
Phlocalyst                         | Close                               | First We Fly(38:07)
Sonic Scope                        | Goodbye                             | First We Fly(46:12)
Artem Yegorov                      | Reflections                         | Hollow Embrace(07:57)
Isolated                           | Ages                                | Hollow Embrace(16:36)
Isolated                           | Daydream                            | A Night In The Stars(35:28)
William French                     | Embrace                             | Hollow Embrace(19:34, 47:25)
CatchyFox                          | Another Universe                    | Hollow Embrace(24:04)
Glowly                             | Hollow                              | Hollow Embrace(33:59)
AK & Mapps                         | Life Cycle                          | Hollow Embrace(39:43)
Vesky                              | Lost                                | Hollow Embrace(43:49)
Vesky                              | Moonlight                           | Moonlight Passage(24:34)
Vesky                              | Closer                              | Moonlight Passage(35:32)
Vesky                              | Shades                              | A Night In The Stars(00:00)
Vesky                              | Living With Ghosts                  | Black Dawn(08:13)
Tony Anderson                      | After The Storm                     | Hollow Embrace(51:54)
Neo Geo                            | Balance                             | Moonlight Passage(03:56)
4lienetic & Solace                 | Eloigne                             | Moonlight Passage(10:46)
Ennja                              | My Eyes                             | Moonlight Passage(14:42)
Open Ocean                         | Asleep                              | Moonlight Passage(18:45)
Asleep Within Waves                | Nostalgic Dreams                    | Moonlight Passage(21:23)
V.I.P.N                            | Rise                                | Moonlight Passage(31:24)
Birdy Luv                          | I Always Ask The Moon               | Moonlight Passage(38:25)
Subliminull                        | Passage                             | Moonlight Passage(41:48)
Sleepy Fish                        | Morning Rises                       | Moonlight Passage(47:34)
Ad Brown Kerry ft. Leva            | Memorial (Lukas Termena Remix)      | Tomorrow Farewell - Vocal Chillout Mix(03:30)
Jellis & Subsets                   | My Mind                             | Tomorrow Farewell - Vocal Chillout Mix(08:24)
Ghostly Kisses                     | Baby Tomorrow                       | Tomorrow Farewell - Vocal Chillout Mix(11:37)
Narrow Skies                       | Season of Gold                      | Tomorrow Farewell - Vocal Chillout Mix(14:49)
Memum ft. Anne Garner              | Timedrift                           | Tomorrow Farewell - Vocal Chillout Mix(24:25)
Nastya Kazantseva                  | Dream of You                        | Tomorrow Farewell - Vocal Chillout Mix(28:10)
RIVERSILVERS                       | Somewhere But Not Here              | Tomorrow Farewell - Vocal Chillout Mix(31:58)
Spheria                            | Sentiá (with Narrow Skies)          | Tomorrow Farewell - Vocal Chillout Mix(36:32)
Rayan Myers ft. Zara Taylor        | Shamed                              | Tomorrow Farewell - Vocal Chillout Mix(39:14)
Rusez1                             | Gone                                | Tomorrow Farewell - Vocal Chillout Mix(44:12)
Rusez1                             | Movement                            | Tomorrow Farewell - Vocal Chillout Mix(48:20)
Rayan Myers                        | I'm Gonna Feel Them                 | Tomorrow Farewell - Vocal Chillout Mix(51:39)
Rayan Myers                        | Destruction                         | A Night In The Stars(13:56)
Hazy & Borrtex                     | Breathe                             | A Night In The Stars(20:05)
Enigma Dubz                        | A Night In The Forest               | A Night In The Stars(26:39)
Ferven                             | Restart                             | A Night In The Stars(38:06)
Ed Carlsen                         | Yearn                               | A Night In The Stars(46:16)
Gísli Gunnarsson                   | Lifeling                            | Black Dawn(14:27)
Arros ft. TaylorMade               | Before Dawn                         | Black Dawn(36:59)
Tomiken                            | Voyager                             | Black Dawn(42:10)
Rautu                              | New Star                            | Black Dawn(45:48)
Hirola                             | Perpetual Light                     | Black Dawn(48:43)
Aurora Night                       | Alone                               | Alone On Earth(23:46)
Endless Leopard                    | Deep Blue You                       | Alone On Earth(26:23)
Feverkin                           | Silhouette                          | Alone On Earth(29:44)
Giuliano Poles                     | What We Are                         | Alone On Earth(32:57)
Insomna                            | With the Flow                       | Alone On Earth(36:10)
Mighty Meditation                  | Is This Real                        | Alone On Earth(39:58)
Trevor Ransom                      | Stillness                           | Alone On Earth(43:58)
Aurora B.Polaris                   | The Blue Abyss                      | Light Synergy(00:00)
KVMTZ                              | Nature Walk                         | Light Synergy(12:18)
Whitewildbear                      | Closer                              | Light Synergy(14:15)
Vaeis Omar                         | Synergy                             | Light Synergy(18:20)
The Secret Place & Simon Wester    | Let There Be Light                  | Light Synergy(22:00)
Matteo De Grandis                  | HeartDust                           | Light Synergy(25:45)
DreamMan                           | Neytiri's Song                      | Light Synergy(29:35)
Nadav Cohen                        | All These Colours                   | Light Synergy(38:00)
Lodoré                             | Back Then                           | Light Synergy(42:08)
Avery Fos                          | Tulsa                               | Light Synergy(46:15)
